nom_fichier,type,ancienne_url_shopify_cdn,produit_associe,emplacement_indique_dans_inventaire,statut,nouvel_emplacement_theme_horizon,raison_si_non_pre_assigne
21878.png,fichier_media,https://cdn.shopify.com/s/files/1/1004/0426/5334/files/21878.png?v=1784160771,,Contenu > Fichiers,DISPONIBLE - NON PRE-ASSIGNE,Aucun (reste dans Contenu > Fichiers Shopify),Aucun emplacement precis fourni dans inventaire_LE_BON_PLAN.csv (colonne emplacement = 'Contenu > Fichiers' generique) ; a assigner manuellement via l'editeur de theme (image_picker) pour eviter toute erreur de placement.
21881.png,fichier_media,https://cdn.shopify.com/s/files/1/1004/0426/5334/files/21881.png?v=1784161358,,Contenu > Fichiers,DISPONIBLE - NON PRE-ASSIGNE,Aucun (reste dans Contenu > Fichiers Shopify),Aucun emplacement precis fourni dans inventaire_LE_BON_PLAN.csv (colonne emplacement = 'Contenu > Fichiers' generique) ; a assigner manuellement via l'editeur de theme (image_picker) pour eviter toute erreur de placement.
23694.png,fichier_media,https://cdn.shopify.com/s/files/1/1004/0426/5334/files/23694.png?v=1786669516,,Contenu > Fichiers,DISPONIBLE - NON PRE-ASSIGNE,Aucun (reste dans Contenu > Fichiers Shopify),Aucun emplacement precis fourni dans inventaire_LE_BON_PLAN.csv (colonne emplacement = 'Contenu > Fichiers' generique) ; a assigner manuellement via l'editeur de theme (image_picker) pour eviter toute erreur de placement.
23695.png,fichier_media,https://cdn.shopify.com/s/files/1/1004/0426/5334/files/23695.png?v=1786669627,,Contenu > Fichiers,DISPONIBLE - NON PRE-ASSIGNE,Aucun (reste dans Contenu > Fichiers Shopify),Aucun emplacement precis fourni dans inventaire_LE_BON_PLAN.csv (colonne emplacement = 'Contenu > Fichiers' generique) ; a assigner manuellement via l'editeur de theme (image_picker) pour eviter toute erreur de placement.
23724.png,fichier_media,https://cdn.shopify.com/s/files/1/1004/0426/5334/files/23724.png?v=1786669516,,Contenu > Fichiers,DISPONIBLE - NON PRE-ASSIGNE,Aucun (reste dans Contenu > Fichiers Shopify),Aucun emplacement precis fourni dans inventaire_LE_BON_PLAN.csv (colonne emplacement = 'Contenu > Fichiers' generique) ; a assigner manuellement via l'editeur de theme (image_picker) pour eviter toute erreur de placement.
23736.png,fichier_media,https://cdn.shopify.com/s/files/1/1004/0426/5334/files/23736.png?v=1786669516,,Contenu > Fichiers,DISPONIBLE - NON PRE-ASSIGNE,Aucun (reste dans Contenu > Fichiers Shopify),Aucun emplacement precis fourni dans inventaire_LE_BON_PLAN.csv (colonne emplacement = 'Contenu > Fichiers' generique) ; a assigner manuellement via l'editeur de theme (image_picker) pour eviter toute erreur de placement.
23755.png,fichier_media,https://cdn.shopify.com/s/files/1/1004/0426/5334/files/23755.png?v=1786656620,,Contenu > Fichiers,DISPONIBLE - NON PRE-ASSIGNE,Aucun (reste dans Contenu > Fichiers Shopify),Aucun emplacement precis fourni dans inventaire_LE_BON_PLAN.csv (colonne emplacement = 'Contenu > Fichiers' generique) ; a assigner manuellement via l'editeur de theme (image_picker) pour eviter toute erreur de placement.
23757.png,fichier_media,https://cdn.shopify.com/s/files/1/1004/0426/5334/files/23757.png?v=1786656634,,Contenu > Fichiers,DISPONIBLE - NON PRE-ASSIGNE,Aucun (reste dans Contenu > Fichiers Shopify),Aucun emplacement precis fourni dans inventaire_LE_BON_PLAN.csv (colonne emplacement = 'Contenu > Fichiers' generique) ; a assigner manuellement via l'editeur de theme (image_picker) pour eviter toute erreur de placement.
23760.png,fichier_media,https://cdn.shopify.com/s/files/1/1004/0426/5334/files/23760.png?v=1786656719,,Contenu > Fichiers,DISPONIBLE - NON PRE-ASSIGNE,Aucun (reste dans Contenu > Fichiers Shopify),Aucun emplacement precis fourni dans inventaire_LE_BON_PLAN.csv (colonne emplacement = 'Contenu > Fichiers' generique) ; a assigner manuellement via l'editeur de theme (image_picker) pour eviter toute erreur de placement.
23770.png,fichier_media,https://cdn.shopify.com/s/files/1/1004/0426/5334/files/23770.png?v=1786684790,,Contenu > Fichiers,DISPONIBLE - NON PRE-ASSIGNE,Aucun (reste dans Contenu > Fichiers Shopify),Aucun emplacement precis fourni dans inventaire_LE_BON_PLAN.csv (colonne emplacement = 'Contenu > Fichiers' generique) ; a assigner manuellement via l'editeur de theme (image_picker) pour eviter toute erreur de placement.
24257.png,fichier_media,https://cdn.shopify.com/s/files/1/1004/0426/5334/files/24257.png?v=1786660559,,Contenu > Fichiers,DISPONIBLE - NON PRE-ASSIGNE,Aucun (reste dans Contenu > Fichiers Shopify),Aucun emplacement precis fourni dans inventaire_LE_BON_PLAN.csv (colonne emplacement = 'Contenu > Fichiers' generique) ; a assigner manuellement via l'editeur de theme (image_picker) pour eviter toute erreur de placement.
24260.png,fichier_media,https://cdn.shopify.com/s/files/1/1004/0426/5334/files/24260.png?v=1786661951,,Contenu > Fichiers,DISPONIBLE - NON PRE-ASSIGNE,Aucun (reste dans Contenu > Fichiers Shopify),Aucun emplacement precis fourni dans inventaire_LE_BON_PLAN.csv (colonne emplacement = 'Contenu > Fichiers' generique) ; a assigner manuellement via l'editeur de theme (image_picker) pour eviter toute erreur de placement.
24263.png,fichier_media,https://cdn.shopify.com/s/files/1/1004/0426/5334/files/24263.png?v=1786677626,,Contenu > Fichiers,DISPONIBLE - NON PRE-ASSIGNE,Aucun (reste dans Contenu > Fichiers Shopify),Aucun emplacement precis fourni dans inventaire_LE_BON_PLAN.csv (colonne emplacement = 'Contenu > Fichiers' generique) ; a assigner manuellement via l'editeur de theme (image_picker) pour eviter toute erreur de placement.
24266.png,fichier_media,https://cdn.shopify.com/s/files/1/1004/0426/5334/files/24266.png?v=1786663507,,Contenu > Fichiers,DISPONIBLE - NON PRE-ASSIGNE,Aucun (reste dans Contenu > Fichiers Shopify),Aucun emplacement precis fourni dans inventaire_LE_BON_PLAN.csv (colonne emplacement = 'Contenu > Fichiers' generique) ; a assigner manuellement via l'editeur de theme (image_picker) pour eviter toute erreur de placement.
24277.png,fichier_media,https://cdn.shopify.com/s/files/1/1004/0426/5334/files/24277.png?v=1786663856,,Contenu > Fichiers,DISPONIBLE - NON PRE-ASSIGNE,Aucun (reste dans Contenu > Fichiers Shopify),Aucun emplacement precis fourni dans inventaire_LE_BON_PLAN.csv (colonne emplacement = 'Contenu > Fichiers' generique) ; a assigner manuellement via l'editeur de theme (image_picker) pour eviter toute erreur de placement.
24278.png,fichier_media,https://cdn.shopify.com/s/files/1/1004/0426/5334/files/24278.png?v=1786664457,,Contenu > Fichiers,DISPONIBLE - NON PRE-ASSIGNE,Aucun (reste dans Contenu > Fichiers Shopify),Aucun emplacement precis fourni dans inventaire_LE_BON_PLAN.csv (colonne emplacement = 'Contenu > Fichiers' generique) ; a assigner manuellement via l'editeur de theme (image_picker) pour eviter toute erreur de placement.
24281.png,fichier_media,https://cdn.shopify.com/s/files/1/1004/0426/5334/files/24281.png?v=1786665059,,Contenu > Fichiers,DISPONIBLE - NON PRE-ASSIGNE,Aucun (reste dans Contenu > Fichiers Shopify),Aucun emplacement precis fourni dans inventaire_LE_BON_PLAN.csv (colonne emplacement = 'Contenu > Fichiers' generique) ; a assigner manuellement via l'editeur de theme (image_picker) pour eviter toute erreur de placement.
24282.png,fichier_media,https://cdn.shopify.com/s/files/1/1004/0426/5334/files/24282.png?v=1786665437,,Contenu > Fichiers,DISPONIBLE - NON PRE-ASSIGNE,Aucun (reste dans Contenu > Fichiers Shopify),Aucun emplacement precis fourni dans inventaire_LE_BON_PLAN.csv (colonne emplacement = 'Contenu > Fichiers' generique) ; a assigner manuellement via l'editeur de theme (image_picker) pour eviter toute erreur de placement.
24290.png,fichier_media,https://cdn.shopify.com/s/files/1/1004/0426/5334/files/24290.png?v=1786672098,,Contenu > Fichiers,DISPONIBLE - NON PRE-ASSIGNE,Aucun (reste dans Contenu > Fichiers Shopify),Aucun emplacement precis fourni dans inventaire_LE_BON_PLAN.csv (colonne emplacement = 'Contenu > Fichiers' generique) ; a assigner manuellement via l'editeur de theme (image_picker) pour eviter toute erreur de placement.
24291.png,fichier_media,https://cdn.shopify.com/s/files/1/1004/0426/5334/files/24291.png?v=1786672310,,Contenu > Fichiers,DISPONIBLE - NON PRE-ASSIGNE,Aucun (reste dans Contenu > Fichiers Shopify),Aucun emplacement precis fourni dans inventaire_LE_BON_PLAN.csv (colonne emplacement = 'Contenu > Fichiers' generique) ; a assigner manuellement via l'editeur de theme (image_picker) pour eviter toute erreur de placement.
24292.png,fichier_media,https://cdn.shopify.com/s/files/1/1004/0426/5334/files/24292.png?v=1786672310,,Contenu > Fichiers,DISPONIBLE - NON PRE-ASSIGNE,Aucun (reste dans Contenu > Fichiers Shopify),Aucun emplacement precis fourni dans inventaire_LE_BON_PLAN.csv (colonne emplacement = 'Contenu > Fichiers' generique) ; a assigner manuellement via l'editeur de theme (image_picker) pour eviter toute erreur de placement.
24293.png,fichier_media,https://cdn.shopify.com/s/files/1/1004/0426/5334/files/24293.png?v=1786672650,,Contenu > Fichiers,DISPONIBLE - NON PRE-ASSIGNE,Aucun (reste dans Contenu > Fichiers Shopify),Aucun emplacement precis fourni dans inventaire_LE_BON_PLAN.csv (colonne emplacement = 'Contenu > Fichiers' generique) ; a assigner manuellement via l'editeur de theme (image_picker) pour eviter toute erreur de placement.
24298.png,fichier_media,https://cdn.shopify.com/s/files/1/1004/0426/5334/files/24298.png?v=1786673032,,Contenu > Fichiers,DISPONIBLE - NON PRE-ASSIGNE,Aucun (reste dans Contenu > Fichiers Shopify),Aucun emplacement precis fourni dans inventaire_LE_BON_PLAN.csv (colonne emplacement = 'Contenu > Fichiers' generique) ; a assigner manuellement via l'editeur de theme (image_picker) pour eviter toute erreur de placement.
24301.png,fichier_media,https://cdn.shopify.com/s/files/1/1004/0426/5334/files/24301.png?v=1786674846,,Contenu > Fichiers,DISPONIBLE - NON PRE-ASSIGNE,Aucun (reste dans Contenu > Fichiers Shopify),Aucun emplacement precis fourni dans inventaire_LE_BON_PLAN.csv (colonne emplacement = 'Contenu > Fichiers' generique) ; a assigner manuellement via l'editeur de theme (image_picker) pour eviter toute erreur de placement.
24302.png,fichier_media,https://cdn.shopify.com/s/files/1/1004/0426/5334/files/24302.png?v=1786677917,,Contenu > Fichiers,DISPONIBLE - NON PRE-ASSIGNE,Aucun (reste dans Contenu > Fichiers Shopify),Aucun emplacement precis fourni dans inventaire_LE_BON_PLAN.csv (colonne emplacement = 'Contenu > Fichiers' generique) ; a assigner manuellement via l'editeur de theme (image_picker) pour eviter toute erreur de placement.
24303.png,fichier_media,https://cdn.shopify.com/s/files/1/1004/0426/5334/files/24303.png?v=1786677860,,Contenu > Fichiers,DISPONIBLE - NON PRE-ASSIGNE,Aucun (reste dans Contenu > Fichiers Shopify),Aucun emplacement precis fourni dans inventaire_LE_BON_PLAN.csv (colonne emplacement = 'Contenu > Fichiers' generique) ; a assigner manuellement via l'editeur de theme (image_picker) pour eviter toute erreur de placement.
24304.png,fichier_media,https://cdn.shopify.com/s/files/1/1004/0426/5334/files/24304.png?v=1786678155,,Contenu > Fichiers,DISPONIBLE - NON PRE-ASSIGNE,Aucun (reste dans Contenu > Fichiers Shopify),Aucun emplacement precis fourni dans inventaire_LE_BON_PLAN.csv (colonne emplacement = 'Contenu > Fichiers' generique) ; a assigner manuellement via l'editeur de theme (image_picker) pour eviter toute erreur de placement.
24711.png,fichier_media,https://cdn.shopify.com/s/files/1/1004/0426/5334/files/24711.png?v=1787018065,,Contenu > Fichiers,DISPONIBLE - NON PRE-ASSIGNE,Aucun (reste dans Contenu > Fichiers Shopify),Aucun emplacement precis fourni dans inventaire_LE_BON_PLAN.csv (colonne emplacement = 'Contenu > Fichiers' generique) ; a assigner manuellement via l'editeur de theme (image_picker) pour eviter toute erreur de placement.
24712.png,fichier_media,https://cdn.shopify.com/s/files/1/1004/0426/5334/files/24712.png?v=1787018457,,Contenu > Fichiers,DISPONIBLE - NON PRE-ASSIGNE,Aucun (reste dans Contenu > Fichiers Shopify),Aucun emplacement precis fourni dans inventaire_LE_BON_PLAN.csv (colonne emplacement = 'Contenu > Fichiers' generique) ; a assigner manuellement via l'editeur de theme (image_picker) pour eviter toute erreur de placement.
Boite_premium_Le_Bon_Plan_futuriste.png,image_produit,https://cdn.shopify.com/s/files/1/1004/0426/5334/files/Boite_premium_Le_Bon_Plan_futuriste.png?v=1787975830,📖 Le Bon Plan Premium – Ebook + Accès Privés à Vie 👑,Contenu > Fichiers (également utilisée comme image produit); Image principale produit (featured/galerie),UTILISE (pré-assigné dans le thème),"templates/index.json -> section hero_jVaWmY (settings.image_1) + Produit Premium (product.media, natif Shopify)",
file_000000001b087243a81e0a1b4a941d06.png,fichier_media,https://cdn.shopify.com/s/files/1/1004/0426/5334/files/file_000000001b087243a81e0a1b4a941d06.png?v=1783747138,,Contenu > Fichiers,DISPONIBLE - NON PRE-ASSIGNE,Aucun (reste dans Contenu > Fichiers Shopify),Aucun emplacement precis fourni dans inventaire_LE_BON_PLAN.csv (colonne emplacement = 'Contenu > Fichiers' generique) ; a assigner manuellement via l'editeur de theme (image_picker) pour eviter toute erreur de placement.
file_00000000381881f4a485b664256e2d13.png,fichier_media,https://cdn.shopify.com/s/files/1/1004/0426/5334/files/file_00000000381881f4a485b664256e2d13.png?v=1787018998,,Contenu > Fichiers,DISPONIBLE - NON PRE-ASSIGNE,Aucun (reste dans Contenu > Fichiers Shopify),Aucun emplacement precis fourni dans inventaire_LE_BON_PLAN.csv (colonne emplacement = 'Contenu > Fichiers' generique) ; a assigner manuellement via l'editeur de theme (image_picker) pour eviter toute erreur de placement.
file_00000000894c71f4b5ef456f2b860dbb.png,fichier_media,https://cdn.shopify.com/s/files/1/1004/0426/5334/files/file_00000000894c71f4b5ef456f2b860dbb.png?v=1783754941,,Contenu > Fichiers,DISPONIBLE - NON PRE-ASSIGNE,Aucun (reste dans Contenu > Fichiers Shopify),Aucun emplacement precis fourni dans inventaire_LE_BON_PLAN.csv (colonne emplacement = 'Contenu > Fichiers' generique) ; a assigner manuellement via l'editeur de theme (image_picker) pour eviter toute erreur de placement.
file_00000000bf6871f48b7584a41d6c25f8.png,fichier_media,https://cdn.shopify.com/s/files/1/1004/0426/5334/files/file_00000000bf6871f48b7584a41d6c25f8.png?v=1783746808,,Contenu > Fichiers,DISPONIBLE - NON PRE-ASSIGNE,Aucun (reste dans Contenu > Fichiers Shopify),Aucun emplacement precis fourni dans inventaire_LE_BON_PLAN.csv (colonne emplacement = 'Contenu > Fichiers' generique) ; a assigner manuellement via l'editeur de theme (image_picker) pour eviter toute erreur de placement.
file_00000000c6f471f49c9bfdb28cfe4bb7.png,fichier_media,https://cdn.shopify.com/s/files/1/1004/0426/5334/files/file_00000000c6f471f49c9bfdb28cfe4bb7.png?v=1783999127,,Contenu > Fichiers,DISPONIBLE - NON PRE-ASSIGNE,Aucun (reste dans Contenu > Fichiers Shopify),Aucun emplacement precis fourni dans inventaire_LE_BON_PLAN.csv (colonne emplacement = 'Contenu > Fichiers' generique) ; a assigner manuellement via l'editeur de theme (image_picker) pour eviter toute erreur de placement.
file_00000000ecf881f493acd4cde7481f42.png,fichier_media,https://cdn.shopify.com/s/files/1/1004/0426/5334/files/file_00000000ecf881f493acd4cde7481f42.png?v=1786679958,,Contenu > Fichiers,DISPONIBLE - NON PRE-ASSIGNE,Aucun (reste dans Contenu > Fichiers Shopify),Aucun emplacement precis fourni dans inventaire_LE_BON_PLAN.csv (colonne emplacement = 'Contenu > Fichiers' generique) ; a assigner manuellement via l'editeur de theme (image_picker) pour eviter toute erreur de placement.
rn-image_picker_lib_temp_545b095c-cfc0-4747-ba4b-f1e122d37b26.png,fichier_media,https://cdn.shopify.com/s/files/1/1004/0426/5334/files/rn-image_picker_lib_temp_545b095c-cfc0-4747-ba4b-f1e122d37b26.png?v=1783744653,,Contenu > Fichiers,DISPONIBLE - NON PRE-ASSIGNE,Aucun (reste dans Contenu > Fichiers Shopify),Aucun emplacement precis fourni dans inventaire_LE_BON_PLAN.csv (colonne emplacement = 'Contenu > Fichiers' generique) ; a assigner manuellement via l'editeur de theme (image_picker) pour eviter toute erreur de placement.
rn-image_picker_lib_temp_6ae95c07-0436-4175-aca6-99ba74a7b5c1.png,fichier_media,https://cdn.shopify.com/s/files/1/1004/0426/5334/files/rn-image_picker_lib_temp_6ae95c07-0436-4175-aca6-99ba74a7b5c1.png?v=1784162854,,Contenu > Fichiers,DISPONIBLE - NON PRE-ASSIGNE,Aucun (reste dans Contenu > Fichiers Shopify),Aucun emplacement precis fourni dans inventaire_LE_BON_PLAN.csv (colonne emplacement = 'Contenu > Fichiers' generique) ; a assigner manuellement via l'editeur de theme (image_picker) pour eviter toute erreur de placement.
